City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Wlingi,ID,81.3,overcast clouds,-8.0776,112.3311,SPOT ON 1847 Hotel Maya
456,Tatawin,TN,79.68,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
459,Biak,ID,80.06,overcast clouds,-0.9131,122.8766,Penginapan Kim
468,Buraydah,SA,76.33,clear sky,26.326,43.975,فندق راحة السلام
478,Payo,ID,84.16,light rain,-3.7508,103.6372,Mess keban agung
484,San Policarpo,PH,82.42,broken clouds,12.1791,125.5072,Agapita M. Nicart
485,Bolitoc,PH,89.1,clear sky,15.7395,119.8769,Seasun Beach Resort & Hotel
488,Hun,LY,76.96,clear sky,29.1268,15.9477,Alrwasi Hotel
494,Garowe,SO,81.72,clear sky,8.4054,48.4845,Curubo Hotel
498,Luwingu,ZM,80.56,clear sky,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
499,Rabaul,PG,85.08,overcast clouds,-4.1967,152.1721,Rabaul Hotel
500,Harper,LR,77.86,clear sky,4.375,-7.7169,Screensaver
501,Pangai,TO,78.33,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
503,Hit,IQ,78.67,clear sky,33.6416,42.8251,صالون زيرو
504,Iranshahr,IR,82.15,clear sky,27.2025,60.6848,نیک سرشت
506,Magadi,IN,83.75,overcast clouds,12.9667,77.2333,Gowdru Military Hotel
507,Sarh,TD,81.0,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
508,Baringo,KE,82.96,scattered clouds,0.4667,35.9667,Khoisang Hostels
511,Dromolaxia,CY,76.87,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
512,Mahajanga,MG,87.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
514,Ewo,CG,78.08,scattered clouds,-0.8725,14.8206,Residence Elonda Ewo
516,Cap Malheureux,MU,77.02,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
521,Dhidhdhoo,MV,81.93,broken clouds,6.8833,73.1,Dhidhoo beach
526,Sabancuy,MX,76.05,scattered clouds,18.9667,-91.1833,Casa Chakchel
544,Iracoubo,GF,77.59,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
545,Sao Filipe,CV,78.39,broken clouds,14.8961,-24.4956,Hotel Xaguate
548,Ibra,OM,83.39,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
549,Shenzhen,CN,83.93,scattered clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
550,Daru,PG,81.36,broken clouds,-9.0763,143.2092,Daru Lodge
553,Samarai,PG,83.3,few clouds,-10.6167,150.6667,Nuli Sapi
555,Tete,MZ,88.43,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
