City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Bengkulu,ID,-3.8004,102.2655,80.85,76,100,8.52,overcast clouds
69,Lenger,KZ,42.183,69.8839,27.84,38,0,4.63,clear sky
70,Hithadhoo,MV,-0.6,73.0833,82.44,75,52,12.88,broken clouds
71,La Baule-Escoublac,FR,47.2922,-2.364,46.99,93,40,5.75,scattered clouds
72,Nokaneng,BW,-19.6667,22.2667,88.97,29,100,9.06,overcast clouds
73,Yulara,AU,-25.2406,130.9889,94.84,26,40,18.41,scattered clouds
74,Kaitong,CN,44.8135,123.15,57.61,36,86,6.31,overcast clouds
75,Syava,RU,58.0146,46.3222,43.68,85,100,9.24,overcast clouds
76,Shimoda,JP,34.6667,138.95,66.56,63,23,5.59,few clouds
77,Nikolskoye,RU,59.7035,30.7861,46.87,92,100,11.41,light rain
78,Merta,IN,26.65,74.0333,81.77,17,100,3.74,overcast clouds
79,Ancud,CL,-41.8697,-73.8203,42.33,91,20,5.61,few clouds
80,Port Augusta,AU,-32.5,137.7667,84.34,14,91,6.49,overcast clouds
81,Brae,GB,60.3964,-1.353,49.91,68,100,20.78,overcast clouds
82,Marsa Matruh,EG,31.3525,27.2453,73.63,69,0,5.82,clear sky
83,Campbellsville,US,37.3434,-85.3419,35.71,55,0,5.23,clear sky
84,Iqaluit,CA,63.7506,-68.5145,15.53,66,40,11.01,scattered clouds
85,Mataura,NZ,-46.1927,168.8643,52.48,66,96,2.48,overcast clouds
86,Ferkessedougou,CI,9.6,-5.2,75.15,76,6,3.4,clear sky
87,Saldanha,ZA,-33.0117,17.9442,62.65,69,100,14.2,overcast clouds
88,Provideniya,RU,64.3833,-173.3,10.67,81,37,9.08,scattered clouds
89,Melo,UY,-32.3667,-54.1833,64.35,94,79,4.18,broken clouds
90,Moreno Valley,US,33.9375,-117.2306,71.76,59,1,3.44,clear sky
91,Atraulia,IN,26.3333,82.95,81.16,40,100,7.31,overcast clouds
92,Khatanga,RU,71.9667,102.5,16.81,87,100,17.63,overcast clouds
93,Marfino,RU,55.7028,37.3822,50.14,89,75,8.95,light rain
94,Hobart,AU,-42.8794,147.3294,67.26,73,20,1.01,few clouds
95,Bubaque,GW,11.2833,-15.8333,82.56,74,100,6.62,overcast clouds
96,Araouane,ML,18.9048,-3.5265,79.97,19,4,7.7,clear sky
97,Punta Arenas,CL,-53.15,-70.9167,41.11,70,0,14.97,clear sky
98,Zhangjiakou,CN,40.81,114.8794,56.62,41,6,7.92,clear sky
99,Atuona,PF,-9.8,-139.0333,78.51,67,29,14.29,scattered clouds
100,Scottsbluff,US,41.8666,-103.6672,57.78,53,1,4.0,clear sky
101,Castro,BR,-24.7911,-50.0119,61.0,92,99,1.57,overcast clouds
102,Manoel Urbano,BR,-8.8389,-69.2597,72.66,93,100,2.35,light rain
103,Ostrovnoy,RU,68.0531,39.5131,34.74,83,100,9.93,overcast clouds
104,Port Elizabeth,ZA,-33.918,25.5701,68.29,60,0,11.5,clear sky
105,Charagua,BO,-19.8,-63.2167,69.85,82,96,2.84,overcast clouds
106,Port Hedland,AU,-20.3167,118.5667,93.25,31,75,19.57,broken clouds
107,Hobyo,SO,5.3505,48.5268,83.41,62,38,4.34,scattered clouds
108,Flinders,AU,-34.5833,150.8552,70.21,88,100,7.38,overcast clouds
109,Chapleau,CA,47.8405,-83.4034,29.8,77,3,8.21,clear sky
110,Acajutla,SV,13.5928,-89.8275,76.96,82,100,5.3,overcast clouds
111,Clyde River,CA,70.4692,-68.5914,15.39,87,93,10.11,overcast clouds
112,Lata,PT,40.1629,-8.3327,45.81,81,0,4.18,clear sky
113,Ponta Do Sol,PT,32.6667,-17.1,65.71,70,74,8.14,broken clouds
114,Veraval,IN,20.9,70.3667,87.33,37,88,4.14,overcast clouds
115,Mantua,IT,45.1667,10.7833,51.44,88,86,3.0,overcast clouds
116,Mildura,AU,-34.2,142.15,85.96,26,5,4.61,clear sky
117,Alyangula,AU,-13.8483,136.4192,87.67,70,75,5.75,broken clouds
118,Cayenne,GF,4.9333,-52.3333,76.08,90,75,11.99,light rain
119,Ilulissat,GL,69.2167,-51.1,22.73,95,100,6.33,overcast clouds
120,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,4.61,broken clouds
121,Akdepe,TM,42.0551,59.3788,28.49,17,0,16.35,clear sky
122,Salalah,OM,17.0151,54.0924,83.68,53,8,6.13,clear sky
123,Viesca,MX,25.35,-102.8,59.7,69,0,4.21,clear sky
124,Beringovskiy,RU,63.05,179.3167,-2.43,90,26,5.64,scattered clouds
125,Hong Gai,VN,20.956,107.0946,82.31,72,18,8.59,few clouds
